link,price,area,rooms,floor,floors_in_building,year_built,building_type,building_material,heating,market,finishing,elevator,balcony/garden,parking,city,district,region
https://www.otodom.pl/pl/oferta/przytulne-2-pokoje-z-aneksem-i-balkonem-ochota-ID4ygEm,800000,43.5,2.0,5,8.0,2001.0,block,brick,urban,SECONDARY,ready_to_use,1,1,0,warszawa,Ochota,mazowieckie
https://www.otodom.pl/pl/oferta/3-pokoje-2-miejsca-komorka-jana-kazimierza-ID4yng0,1380000,62.8,3.0,3,9.0,2014.0,,brick,urban,SECONDARY,ready_to_use,1,1,1,warszawa,Wola,mazowieckie
https://www.otodom.pl/pl/oferta/0-prowizji-86-65-m2-2-mieszkania-fotowoltaika-kli-ID4zc2y,857835,86.65,3.0,1,1.0,2018.0,house,brick,electrical,SECONDARY,ready_to_use,0,1,0,lusowko,,wielkopolskie
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-balkon-bezposrednio-ID4yMFO,693936,43.92,2.0,1,2.0,2025.0,block,reinforced_concrete,gas,PRIMARY,to_completion,1,1,0,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/2-pokoje-balkon-i-garaz-do-wprowadzenia-mokotow-ID4ysXs,889980,47.51,2.0,2,4.0,2016.0,apartment,,urban,SECONDARY,,1,1,1,warszawa,Mokotów,mazowieckie
https://www.otodom.pl/pl/oferta/dwustronne-3-pokoje-balkon-klucze-styczen-ID4yXSI,561823,49.9,3.0,2,,2025.0,block,,urban,PRIMARY,to_completion,1,1,0,poznan,,wielkopolskie
https://www.otodom.pl/pl/oferta/gotowe-2-pokoje-balkon-brutto-vat-23-ID4yYVw,532176,33.73,2.0,1,,2025.0,block,,urban,PRIMARY,to_completion,1,1,0,gdansk,,pomorskie
https://www.otodom.pl/pl/oferta/miejsce-w-hali-gratis-2-pok-38m2-balkon-klucze-1q-2026-ID4yG2u,482223,38.51,2.0,1,,2025.0,block,,urban,PRIMARY,to_completion,1,1,1,poznan,,wielkopolskie
https://www.otodom.pl/pl/oferta/2-pokoje-loggia-ciche-do-wprowadzenia-ID4xXtm,900000,37.0,2.0,3,5.0,2023.0,,,urban,SECONDARY,ready_to_use,1,1,0,warszawa,Wola,mazowieckie
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-ogrodek-parking-ID4xpBm,990000,45.31,2.0,0,4.0,2014.0,block,,urban,SECONDARY,ready_to_use,1,1,1,warszawa,Żoliborz,mazowieckie
https://www.otodom.pl/pl/oferta/okazja-3-pokoje-oddzielne-wc-i-kuchnia-tylko-10-999-zl-m2-ID4z4cN,733521,66.69,3.0,,,,block,,urban,PRIMARY,to_completion,1,1,0,poznan,,wielkopolskie
https://www.otodom.pl/pl/oferta/zaprojektowane-przez-architekta-wnetrz-3-pokoje-ID4yC2J,745000,61.02,3.0,1,3.0,2015.0,block,,urban,SECONDARY,ready_to_use,0,1,1,gdansk,,pomorskie
https://www.otodom.pl/pl/oferta/gotowe-do-zamieszkania-loft-3-7m-balkon-park-manufaktura-ID4yDbH,349990,51.89,2.0,1,3.0,1900.0,tenement,brick,urban,SECONDARY,ready_to_use,0,1,1,lodz,,lodzkie
https://www.otodom.pl/pl/oferta/nowoczesne-3-pokojowe-mieszkanie-na-poznanskich-podolanach-64-54-m2-ID4z2cf,860000,64.54,3.0,4,4.0,2012.0,block,brick,urban,SECONDARY,ready_to_use,1,1,0,poznan,,wielkopolskie
https://www.otodom.pl/pl/oferta/nowoczesny-apartament-loft-ogromny-taras-ursynow-bezposrednio-ID4z0Ex,2580000,122.8,4.0,3,3.0,2010.0,apartment,brick,urban,SECONDARY,ready_to_use,1,1,1,warszawa,Ursynów,mazowieckie
https://www.otodom.pl/pl/oferta/134-m-4-pokoje-park-szczesliwicki-ID4xB8N,2850000,133.87,4.0,1,3.0,2009.0,apartment,,other,SECONDARY,ready_to_use,1,1,1,warszawa,Ochota,mazowieckie
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-48m2-balkon-ID4unGl,939052,48.43,2.0,7,7.0,2026.0,,,,PRIMARY,to_completion,1,1,1,warszawa,Włochy,mazowieckie
https://www.otodom.pl/hpr/pl/oferta/3-pokoje-oddzielna-kuchnia-inwestycja-do-wejscia-ID4ytBT,880000,47.8,3.0,7,15.0,1970.0,block,,urban,SECONDARY,,1,1,0,warszawa,Wola,mazowieckie
https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-bukowy-dworek-garaz-bez-prowizji-ID4yJ9x,440000,33.0,2.0,1,2.0,2008.0,block,brick,gas,SECONDARY,ready_to_use,0,1,1,jablonna,,mazowieckie
https://www.otodom.pl/pl/oferta/piekne-3-pokoje-balkon-doskonala-lokalizacja-jezyce-ID4yXBt,646087,52.8,3.0,1,,2026.0,block,,urban,PRIMARY,to_completion,1,1,0,poznan,,wielkopolskie
https://www.otodom.pl/pl/oferta/stylowy-apartament-panorama-warszawy-parking-ID4xtZG,900000,47.04,2.0,higher_10,17.0,2018.0,apartment,,urban,SECONDARY,ready_to_use,1,1,1,warszawa,Praga-Południe,mazowieckie
https://www.otodom.pl/pl/oferta/idealne-dla-ciebie-2-pokoje-balkon-jezyce-ID4yXRw,528000,39.5,2.0,5,,,block,,urban,PRIMARY,,1,1,0,poznan,,wielkopolskie
https://www.otodom.pl/pl/oferta/ostatnie-2-pokoje-parter-44-7-m-ogrod-podlogowka-ID4ykS3,359000,44.73,2.0,0,1.0,2025.0,apartment,silikat,gas,PRIMARY,to_completion,0,1,1,slupsk,,pomorskie
https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-trzypokojowe-ID4zhVE,610000,78.2,3.0,9,16.0,1994.0,block,concrete_plate,urban,SECONDARY,ready_to_use,1,1,0,poznan,,wielkopolskie
